"","cra","phoB","dpiA","fur","modE","lrp","ihfB","ihfA","rpoS","rpoD","fis","crp","rpoH","oxyR","soxS","arcA"
"1",7.697990761,5.599989457,4.761679495,9.737594778,6.345706149,9.849326335,9.64586071,9.513966037,9.840497259,9.486455052,8.936196031,9.66641629,8.725102185,8.209080835,6.230069284,9.547993066
"2",7.581105275,5.746618909,4.930888441,9.784891731,6.624019157,9.8218731,9.193787368,9.13658,9.867416298,9.581225863,8.601549456,9.621357979,8.769578669,8.417560995,6.104496759,9.560288983
"3",6.395808437,6.009649762,5.291245087,9.381882209,6.525433529,9.585671078,9.703506206,9.686716189,11.60445415,10.12072458,7.013285457,9.76160537,9.649580948,7.841488687,8.009046609,10.73747755
"4",6.36686546,6.131476751,5.366083744,9.468695733,6.641006232,9.414905816,9.755097701,9.606358661,11.5909947,10.0789109,7.078497449,9.706963945,9.74605936,7.754378181,8.172509178,10.78861259
"5",7.315203568,5.158323598,4.786445574,9.779252503,5.969754946,9.884933401,9.751882242,9.664120746,9.582787784,9.095503833,9.878378526,9.692444984,8.226875134,7.979420518,6.161353482,9.470078646
"6",7.360938045,5.248837637,4.429939328,9.91051951,5.989830014,9.927703997,9.835910158,9.592043674,9.53000188,9.064316904,9.935850312,9.764352768,8.234107184,7.871566477,6.173333563,9.423209214
"7",6.475133438,5.747059518,5.158754283,1.161215177,6.405841066,10.15816645,9.760298105,9.427973347,11.19050567,9.781587927,7.682796985,9.579017825,9.512668476,7.743997271,7.290270479,10.72806137
"8",7.334266617,5.769480342,4.753729445,9.244268312,6.296474462,10.12155489,9.531370434,9.755964189,10.13533912,9.367756117,8.998182563,10.12007031,8.873969473,8.055967108,6.570975323,10.56506269
"9",7.296774716,5.963673942,4.619696329,9.233931966,6.398852993,10.17465878,9.614866962,9.619841722,10.10871555,9.385570056,9.080215824,10.10948397,8.723244069,8.058201937,6.616156274,10.5538542
"10",7.425441871,5.992085505,4.878398935,9.413679238,6.28983851,10.26881226,9.721667006,10.15908207,9.914324005,9.270916265,9.401239862,10.12867889,8.727553446,7.986306415,6.863477804,10.33009999
"11",7.428245154,5.580946204,5.10720103,9.405462358,6.091063426,10.25674361,9.537523566,9.52099303,9.967761485,9.364805857,9.422969923,10.16625314,8.799023465,7.832457966,6.712147754,10.36531001
"12",7.234869969,6.047234582,4.941532916,9.282958587,6.320825362,10.13548018,9.520872587,9.300833209,10.05086784,9.289024942,9.262964478,10.12654013,8.671680854,7.910952053,7.128759128,10.46556045
"13",7.391012278,5.957906283,4.816779904,9.323875463,6.379580937,10.10146059,9.606523461,9.640937649,10.02103851,9.387303031,9.064709358,10.13176331,8.828617155,7.946998881,7.144272048,10.50322299
"14",7.376029058,6.145300145,4.829515038,9.342445843,6.13972919,10.20664309,9.737353853,9.686877945,10.16638105,9.346965761,9.189626526,10.20805736,8.689671387,8.023477972,6.944347527,10.13201885
"15",7.335649093,6.137135115,4.981196564,9.285271157,6.243006755,10.15381148,9.607969115,9.681005906,10.24303879,9.419232207,9.026437506,10.30859994,8.686918907,8.065463388,6.907475889,10.12773984
"16",6.406131308,6.003923049,5.318562377,9.864094055,7.289829096,9.893301986,9.649397145,10.1447551,12.46087839,9.875931189,6.036218735,9.902665575,10.13273581,8.693739334,12.96391508,11.94073749
"17",6.428956582,6.2315686,5.397303183,9.946980344,7.138825456,9.937778067,9.945262378,10.48369965,12.1991328,9.817866708,5.978728205,9.971403931,10.31066994,8.753954878,12.9596493,11.91762453
"18",7.245741527,6.202287887,5.801900173,10.28670591,7.089357841,10.1787887,9.631910456,10.40227477,11.96736135,10.08223587,6.246721955,10.21656096,9.973706131,0.566741924,13.30626295,11.92816215
"19",7.43480488,6.137813805,5.811514917,10.23704799,7.095067303,10.22625704,9.991238401,10.42673923,11.88866431,9.989137638,7.04068488,10.25278248,10.06258387,0.690677808,13.43580595,11.92042869
"20",6.57233434,5.86270947,5.501788618,9.045270291,6.669347967,9.801953795,9.702361411,10.27563048,12.25905149,9.26210408,6.636398426,10.04448021,9.833601741,8.766342574,7.844773849,11.94367898
"21",6.736579567,5.982800013,5.709573357,9.08471449,6.729076922,9.927006285,9.999913539,10.38817568,12.21675544,9.251182066,6.857441605,10.13019839,9.817270204,8.639511111,7.894648269,11.85258519
"22",6.369136216,6.055624835,5.472165745,9.081490791,6.897787015,10.03429816,10.13801701,10.78944405,12.47197962,9.545477227,6.202103502,10.24165218,10.10331527,8.854424301,0,12.1477377
"23",6.494037034,6.147229877,5.787852512,8.95767661,6.62399242,10.03836606,9.776311609,10.74182496,12.54994282,9.595622663,6.049461419,10.21297809,10.14428328,8.915080165,0,12.22214033
"24",7.407469157,6.293271799,5.505491053,10.08746169,6.527004901,10.0155376,9.466141439,9.543899046,11.66023072,9.528345062,7.141066936,9.422073763,9.375664353,7.851120527,10.76940646,10.08181532
"25",7.209458992,6.351667529,5.444048762,9.89374573,6.461345321,10.06306387,9.552197104,9.545745518,11.66012477,9.521987646,7.342353292,9.445369438,9.329873453,7.953879034,10.62851945,10.0457114
"26",7.535412357,5.789268516,4.935154131,10.12228549,6.663802102,9.894508555,9.856961512,9.66911305,10.74797652,9.408989202,7.777714724,9.468670237,9.199980836,8.045654747,10.23111098,9.764257844
"27",7.423070752,5.822198818,5.19177187,10.09018395,6.581713725,9.917262253,10.02030218,9.557888022,10.70651835,9.442706066,7.858688074,9.468184736,9.221682667,8.066540069,10.34012504,9.753885678
"28",7.632971503,6.025894756,4.986282173,9.584845158,6.63238586,9.88338648,10.31366196,9.743920962,10.92791712,9.446950539,7.45897566,9.723333225,9.449628766,8.14392103,7.075596436,10.4220642
"29",7.54491395,6.308857993,5.226942014,9.421622246,6.43318076,9.771452204,10.42074057,9.662790898,10.9990013,9.570842359,7.224093141,9.670569049,9.612672719,8.213230818,6.970437686,10.35350713
"30",7.092407869,6.358580844,5.230254598,9.598558876,6.488084925,9.768109627,9.154887567,9.457065031,12.16753203,9.814836196,6.270885925,9.856803174,9.781746384,7.611780374,11.16559489,10.50917892
"31",7.369097251,5.99172869,5.122136563,9.883436733,6.376027823,9.322501572,9.195538849,8.354095062,12.31724389,9.797933533,6.417078196,9.55673756,10.01128679,7.954733902,11.19949484,10.55635819
"32",7.295532759,5.935359684,4.841667974,9.199519281,6.536852985,10.24097749,9.305437698,9.880752169,11.58236557,9.525401349,7.441166615,9.943725229,9.534619136,8.117657613,9.941284421,10.53553454
"33",7.215696867,5.551925117,4.768092251,9.138479355,6.510817226,10.25464373,9.323176322,9.763128745,11.54722962,9.546055749,7.654182507,9.924264168,9.389356244,8.082189736,9.744420865,10.53656722
"34",7.433212356,5.51022042,4.734214804,8.967973321,6.260270319,10.08778369,9.730887963,9.907170756,11.49885711,9.436142069,6.922839635,10.21085425,9.547035941,8.122276176,7.050454244,11.31449497
"35",7.448284636,5.493776884,4.652504325,9.1039169,6.472771398,9.974782657,9.618949457,9.978941805,11.47395971,9.429772419,6.616791692,10.20105519,9.58117336,7.919669035,7.152644946,11.25854137
"36",7.427311509,5.390720412,4.57420366,8.874950105,6.45233744,10.18599785,8.667762327,9.707665748,10.49342249,9.628941353,8.183071121,10.05133477,8.876189193,8.081899631,6.412291431,10.12209199
"37",7.272739071,5.285176198,4.656197189,8.87305116,5.931520899,10.00086949,8.744463197,9.659113886,10.49018673,9.554313168,8.4179874,10.04842175,8.941707393,8.135188179,6.547004159,10.14486295
"38",7.017008673,5.803815902,4.993033488,9.171717363,6.32790429,9.950282189,9.693021753,10.09507815,10.96840011,9.422037754,7.815585073,10.10436019,9.205946635,8.272927184,6.555320662,10.73239877
"39",7.145800957,5.671111504,5.033733237,9.049214647,6.214338298,10.00155263,9.247951069,9.57816932,10.4878525,9.525777473,8.083609901,10.05057787,9.077466491,8.260391669,6.500622899,10.42116051
"40",7.214683876,5.571190756,4.581461232,9.199503543,6.212768236,10.16271747,8.447083375,9.339574965,10.27120144,9.661756221,9.072645364,9.973392933,8.665043457,8.029819724,6.180807464,9.94079791
"41",7.189246665,5.60959251,4.945799081,9.214275654,5.869451617,10.23623451,8.470221575,9.318886346,10.13808151,9.64446877,9.079149797,10.0049063,8.642382935,8.108743917,6.328007391,9.883134071
"42",7.236003667,5.512649985,4.596435045,8.938524195,5.96292379,10.14764695,8.028991435,9.109344712,9.806503983,9.57521958,9.075725071,9.818244673,8.484336905,8.092684685,6.335952806,9.578911388
"43",7.166043073,5.37673435,4.479150049,9.013961174,6.162014755,10.09771864,8.163617925,9.245381352,9.861352462,9.633673971,9.140253519,9.798659134,8.398400138,8.080018358,6.485551727,9.549439572
"44",7.250974631,5.589135748,4.84696593,9.212007558,6.237823545,10.05955716,8.634075259,9.442054954,10.1200164,9.703314074,8.840145768,9.982659746,8.766526698,8.113519528,6.298757466,10.48044001
"45",7.225308984,5.655709677,4.628628591,9.177863013,6.341747347,10.08218106,8.717350819,9.647265333,10.20729533,9.678903703,8.883100897,9.931364835,8.880814347,8.258495267,6.268226735,10.46232145
"46",7.244117594,6.123200751,5.305959115,9.123793064,6.175721217,10.11475817,8.943936211,9.855616191,11.30575035,9.61452414,8.002087101,9.995376362,9.156268672,8.056026167,6.682040601,11.13307956
"47",7.718758638,5.135990061,3.834233858,9.357498193,6.058066666,9.922183493,8.357894843,9.596713676,9.49833423,9.398659481,8.584057826,9.488940373,8.487829777,7.600027445,8.78649127,9.496202782
"48",7.668705608,5.570720788,4.319905775,9.381594714,6.087512155,10.278547,8.562270595,9.494549869,9.675807231,9.404360595,8.709926156,9.634938636,8.681215348,7.752233036,8.935464361,9.519865378
"49",7.625969015,5.373831282,3.933913757,8.982850496,5.710911655,10.12050245,8.621913191,9.525463604,9.685930508,9.093811479,8.754937742,9.792871018,8.729944125,7.876429574,8.485680767,9.342010293
"50",7.615610754,5.543793873,3.855906858,8.951519126,5.417997928,10.05770511,8.49534115,9.715230494,9.677115294,9.149158017,8.631482896,9.808269305,8.858139366,7.865593594,8.493424975,9.383765921
"51",8.089378531,5.33330378,4.396098392,9.605286628,6.033647487,9.897942354,8.823470487,10.00048523,9.271333627,8.882340847,7.082682403,10.02778857,9.497170163,7.847765791,8.176185907,9.59851255
"52",8.087275636,5.255316071,3.882084408,9.551105491,6.16993631,10.04932461,8.625075963,10.02546168,9.249081537,8.801527855,7.195804772,10.13464828,9.311167881,7.748401139,8.260358387,9.666643367
"53",8.495379559,5.408121647,4.821663357,9.778178082,6.209538111,9.894016477,10.24035152,9.997285424,10.90310075,9.066668528,9.180795399,10.01227285,8.963312482,7.876651187,7.259925082,9.556404012
"54",8.534915253,5.691568876,4.62311723,9.812379963,6.329327854,9.941624417,10.24561117,10.10112724,10.83805057,8.973969808,9.252033471,10.12474792,8.965472319,7.829414618,7.328191296,9.535480296
"55",8.265263156,5.725908765,4.885283721,9.793574477,5.859592719,9.805336386,9.947646897,10.28490208,10.79475169,9.013340462,9.862329549,10.15622835,9.314969708,7.94996867,6.768765815,9.63252619
"56",8.121020343,5.844157305,5.184929899,9.822970373,5.883283854,9.883658719,9.826325681,10.10213976,10.85940483,9.004254523,9.893232673,10.25867588,9.379757505,7.947811928,7.059479322,9.628959252
"57",7.689066418,5.684912559,5.177954235,9.743762652,6.381974777,10.32130213,10.00060588,10.40199295,10.51986234,9.096301139,9.940230726,10.04757974,9.413447106,8.106131206,7.109376499,9.76862123
"58",7.737816193,5.397214388,5.112221086,9.727720109,6.307199674,10.29250446,9.999507175,10.3898003,10.53861941,9.135532585,9.895227851,10.08383478,9.510801431,8.293208807,7.193512231,9.775408189
"59",8.319736454,5.654078538,5.000541108,9.711480472,6.234451089,10.04272397,10.22094805,10.17493065,10.99863821,9.103614338,9.165191639,10.42697707,9.285297121,8.173324182,7.288843264,9.308245987
"60",8.240489932,5.888851363,5.242022478,9.701379147,6.393532676,9.960049264,10.09726755,10.10865474,11.14913083,9.15029616,9.015633566,10.42574237,9.40549685,8.2624773,7.217994801,9.277891734
"61",5.674028604,5.183671973,4.643690381,9.018536799,6.339807055,8.515648873,8.863673024,10.64946768,11.79784098,10.20908031,6.359521582,9.012581542,10.10317389,7.073616492,5.340238747,11.74513377
"62",5.759316867,5.100658768,4.708659881,9.25865958,6.178241139,8.643952338,9.044671999,10.68076113,11.68500707,10.08728498,6.679172486,9.054545887,9.977803594,6.866186597,5.767328574,11.68371214
"63",5.865746542,4.752223154,4.379939804,8.897844261,5.864664056,8.219195813,8.812275365,10.77591706,10.785239,10.71091885,7.156216197,8.58299427,10.41080916,7.256386328,7.032004921,11.21982735
"64",5.538583759,5.099990919,4.538230602,9.06495552,5.708679273,8.290283261,8.539756828,10.71427565,10.6612738,10.74434119,7.002447056,8.554051379,10.40862189,7.058440696,7.019207693,11.29217718
"65",7.228423325,4.939679845,5.017446632,10.08230695,6.079297743,10.35655731,10.06230647,10.64095431,9.549595614,8.740221716,9.891557842,9.873445878,8.172932744,7.279147825,6.944069619,9.738883324
"66",7.256726288,4.509097087,4.412321884,9.232168519,5.934841845,9.869053401,9.869079577,10.18796122,10.21594745,9.10886567,9.922201293,9.55956082,8.472870734,7.4740236,5.912842478,9.751047149
"67",7.409733632,4.722869815,4.545994831,9.213571547,5.815453561,10.11252566,9.871952003,10.34282493,10.07192968,8.938763048,10.09331517,9.724685511,8.484630667,7.47197587,5.337378262,9.800289125
"68",7.487580623,4.811077795,4.483733226,9.370811681,5.839904572,10.06177001,9.899285852,10.35465438,9.99947861,8.862763588,10.11284339,9.667787747,8.556470846,7.183300092,5.37039922,9.692255814
"69",7.515439031,4.939656713,4.104121049,9.324013704,6.078656339,10.08613502,9.98646353,10.37062342,10.00217214,8.829149698,10.01844332,9.602885693,8.535050707,7.427489199,5.429028888,9.747599533
"70",8.390575199,5.230683686,4.949286166,9.047673317,6.527368794,9.998301408,9.880979533,10.71081967,9.706226731,8.767494207,9.971336485,9.895517122,8.563179564,7.162605984,4.51445717,10.17957427
"71",8.721049346,5.034064807,5.469155564,8.742139743,6.657386516,10.04534544,9.705138433,10.66033874,9.866045435,8.777506124,9.618944688,9.739448632,8.556838461,7.698409979,5.498712229,9.985829682
"72",8.070199969,4.624520375,4.793675267,8.988307092,6.295912771,10.52266756,10.42556915,10.48167476,9.986751605,8.299406215,8.838246675,10.21667419,8.698302846,7.795153507,5.181176995,9.67613094
"73",0.711390725,4.904566257,4.868170378,8.839662227,6.067564985,10.3370594,10.44704131,10.85534785,10.2557909,8.710512531,8.605837587,10.07374024,9.019336954,7.826054054,5.571719993,9.843718953
"74",1.224022238,4.605248638,4.988330943,8.851110032,6.15160424,10.42101208,10.39840796,10.83754391,10.24084751,8.741117187,8.558940498,10.02551563,9.098898311,7.84377248,5.753080227,9.835597144
"75",3.013132902,4.878087173,4.896362021,8.896015676,6.209227827,10.84568675,10.60718439,10.89513274,10.03189194,8.745364773,9.140031209,10.14840547,8.810639464,7.61203504,5.303908159,9.869288636
"76",8.032115345,4.697008723,4.883186648,9.048851883,6.480329339,9.840382859,9.933198831,10.50342573,10.03193587,8.632045437,8.419915808,10.13327908,8.888997887,8.078727282,5.297699892,9.827305445
"77",6.942225847,4.015935639,4.493724534,9.694449941,5.924589859,10.16503634,10.08540672,10.37371692,10.10660926,8.897905125,9.297402611,9.885030648,8.474510398,7.059413195,6.23307019,9.365828082
"78",7.531395111,4.978606257,4.691121514,9.299342557,6.23419473,10.0861966,9.988666026,10.66209275,10.40797411,8.726098866,9.910870272,10.13154964,8.439768765,7.473200754,6.185190779,9.770032096
"79",8.402631346,5.123430924,3.741180074,9.567324424,5.816257846,9.826623482,8.624248918,9.102120178,9.945017758,8.992675513,8.01711259,10.04404162,8.708640291,6.908726132,8.544312685,9.767715001
"80",8.524400263,4.947325662,3.765829457,9.480418901,5.803085694,9.633564527,8.804076948,9.286890608,9.870760802,8.94575885,8.216755227,9.905285934,8.650465412,6.978865973,8.697493554,9.722717623
"81",8.10341469,5.482601894,3.640679559,9.28926448,5.928022935,9.808142379,8.536366913,9.315038034,9.920638481,9.216647339,7.687635734,9.538139032,8.628413219,7.449903154,9.057669628,9.461510574
"82",7.958086835,5.860287084,4.125488497,9.357065695,5.836748257,10.06196168,8.958806295,9.063853774,9.884823397,9.1855933,8.29471276,9.735129528,8.681112086,7.430640182,9.043175947,9.511650209
"83",0,5.437123288,4.955051514,9.357550469,6.70954446,9.256859213,9.043413324,9.77125848,10.48572971,9.095460916,7.138047878,9.854725683,9.027224919,7.755414061,6.621879977,9.839425164
"84",0,5.341397455,4.843416662,9.448541478,6.580642712,9.243073816,9.185564468,9.833183318,10.57701787,9.038568573,7.286391071,9.869555359,9.172609921,7.694776766,6.562311351,9.881364808
"85",0,5.572662022,4.951632489,9.135736059,6.355775765,9.992559227,9.16686085,9.495440881,10.38134178,9.393421519,8.596922375,9.910546785,8.759994004,8.155761072,6.337027052,10.1637847
"86",0,5.930077247,4.752441723,9.203293039,6.052525808,10.10789962,9.593982004,9.657656484,10.48202285,9.303406412,8.633809706,9.944084961,8.821066637,8.065734142,6.763498576,10.15404045
"87",0,5.527318114,4.791342459,9.094101165,5.983280513,10.06232379,9.032660659,9.459825823,9.898820767,9.349742643,9.123888721,9.787465809,8.767557445,8.112866848,6.544683058,9.817142021
"88",0,5.721869026,4.977043121,9.055580244,6.062095617,10.10617789,9.17600785,9.316259062,9.933688118,9.389547266,9.068366226,9.790033797,8.755398648,8.169470717,6.482139081,9.795440996
"89",8.350630902,5.702406652,4.659941651,9.531865666,6.186205085,9.973408746,9.686373811,9.777442552,10.45327536,9.231750501,8.647116604,9.908981191,8.884382958,7.835727528,6.731232351,9.905470751
"90",7.732207678,5.759009826,4.654596712,9.16963585,5.959973383,10.11462137,9.368105409,9.683520228,10.03651029,9.321506269,9.115140287,9.836142001,8.636511897,7.848696284,6.475336284,10.04435432
"91",8.18336155,5.277403945,4.368687331,9.075979971,5.817112567,8.594496532,9.305217633,9.220292477,10.69516394,9.558661918,6.650389324,10.05970191,9.413454873,7.951156528,6.492178796,11.16603667
"92",8.137119333,5.831069948,3.953824154,9.026783875,6.065751815,8.755742393,9.239259773,9.256477599,10.68844196,9.600156453,6.629622832,10.04783585,9.394385974,7.850639193,6.367703738,11.11167789
"93",8.21347436,5.773187378,4.832614535,9.564340743,5.629138378,10.45350184,10.14799577,10.00546987,11.09490291,9.764467648,8.834002344,10.17420731,9.361286408,7.831988254,7.160570509,10.25667734
"94",8.129875392,6.015890956,5.336521524,9.69279924,5.53261832,10.41142645,10.34093545,10.08353414,10.97124613,9.774694033,8.702236122,10.16899187,9.533765637,7.895922943,6.520587584,10.10695389
"95",8.132366695,6.087465901,5.100209736,9.150774546,6.619187431,8.367785885,9.299634067,9.031706311,10.74592827,10.01768334,7.176264496,9.84764566,9.838178653,7.932709415,6.529581976,10.8276662
